Id,Name,IsClosed,IsWon,Type,Industry__c,CloseDate,StageName,Lost_Reason__c,Lost_to_Competitor__c,With_Competitor__c,Won_Loss_Detail__c,Description
0060L00000i4eoYQAQ,AFC Doctors Express Urgent Care,TRUE,FALSE,New Business,Healthcare,5/31/2017,Closed Lost,Delayed Opportunity,,,,
006E000000gnjVDIAY,American Family Care - 12/2016,TRUE,FALSE,New Business,Healthcare,12/1/2016,Closed Lost,Delayed Opportunity,,,,"See notes from Demo on 9/22.  Client basically thinks she knows everything about SEO and Local SEO (their results prove otherwise).  She didn't understand how this audit came about.  Didn't think any of our data was legitimate or accurate, despite me showing her exactly where the information was being pulled in from.  She has just picked two solutions for listing management (ModLocal) and someone else that is going to do review surveys.  She liked our Ranking tool, but not enough to consider CM for real.  Said to check with her next year to see if she how things are going with the solutions they've selected for now."
0060h000016blmEAAQ,Centers Health Care - 6/2018,TRUE,FALSE,New Business,Healthcare,6/18/2018,Closed Lost,Customer Stopped Responding,,,,
0060L00000i5V81QAE,Centers Health Care - 3/2017,TRUE,FALSE,New Business,Healthcare,3/15/2017,Closed Lost,Customer Changed Priorities,,,,
0060L00000i3AJqQAM,"Digestive Health Associates of Texas, P.A. - 1/2017",TRUE,FALSE,New Business,Healthcare,1/19/2017,Closed Lost,Price/Budget,,Reputation.com,,
0060L00000mJofpQAC,North Texas Endoscopy Centers - Amsurg - 7/2018,TRUE,FALSE,New Business,Healthcare,7/31/2018,Closed Lost,SE Turnover,,,,
0060L00000i3nXBQAY,North Texas Endoscopy Centers - Amsurg - 2/2016,TRUE,FALSE,New Business,Healthcare,2/16/2016,Closed Lost,Customer Changed Priorities,,,,"- Reputation is a huge focus for them, they are looking to onboard a new vendor for 2017

- Amsurg owns surgery centers, mainly endoscopy centers

- This is a corporate buy, they are currently unhappy with their vendor due to the lack of reporting available

- They mainly are monitoring HealthGrades & Vitals, all of which are claimed

- LOVED the media tab and the sharing capabilities

- Their SEO is a mess right now and they are suffering from a ranking standpoint.

- Sending over all follow-up information and meeting scheduled with their VP on 12/16. Call scheduled on 12/19 to follow-up

- Will be preparing a contract and sending that as well as they are looking to move quickly.

- They are currently using Binary Fountain

- They have 116 total listings that would need to be monitored

- They are paying $1200/month with binary fountain

- They like the fact that they could consolidate 3 platforms into one with chatmeter

- Set a hard deadline of January 6th for a contract signature date.

- They will be meeting with their VPs after the 1st week of January"
0060L00000jgJtUQAU,Centric Health - 11/2017,TRUE,FALSE,New Business,Healthcare,11/28/2017,Closed Lost,Customer Not Qualified,,,,
0060L00000i5dbWQAQ,Centric Health - 5/2017,TRUE,FALSE,New Business,Healthcare,5/29/2017,Closed Lost,Customer Not Qualified,,,,
0060h000017GTjeAAG,Northwestern Medicine - 11/2018,TRUE,FALSE,New Business,Healthcare,11/26/2018,Closed Lost,Customer Stopped Responding,,,,
0060h000017JHpPAAW,SCL Health - 1/2019 - 2/2019,TRUE,FALSE,New Business,Healthcare,2/6/2019,Closed Lost,Delayed Opportunity,,,Not the right people.  Need to go through corporate.,
0060h000016brmuAAA,SCL Health - 7/2018,TRUE,FALSE,New Business,Healthcare,7/7/2018,Closed Lost,Delayed Opportunity,,,,
0060h000016brmVAAQ,SCL Health - 6/2018,TRUE,FALSE,New Business,Healthcare,6/30/2018,Closed Lost,Delayed Opportunity,,,,
0060h000017GOAhAAO,SCL Health - 11/2018,TRUE,FALSE,New Business,Healthcare,11/28/2018,Closed Lost,No Show,,,,
0060h000016z0OWAAY,Central Maine Healthcare - 4/2019,TRUE,FALSE,New Business,Healthcare,4/30/2019,Closed Lost,Non Decision Maker,,,"friend was screening her cell phone, she obv doesnt want to talk to me.  seemed like shakey ground and i dont think she has any power.",
0060L00000i39TpQAI,Central Maine Healthcare - 11/2016,TRUE,FALSE,New Business,Healthcare,11/30/2016,Closed Lost,Customer Not Qualified,,,,"- Web Demo Request: We are looking to capture all reviews, comments, mentions across the web and social media. Our healthcare system consists of Central Maine Medical Center and affiliates, Bridgton Hospital and Rumford Hospital. 

- Identified Erica Dodd is the VP that would sign off on this

- They have no budget but may be able to shift some things around if it is a big enough ROI story

-  The director of digital marketing will be out on maternity leave beginning next month"
0060L00000i39TkQAI,Central Maine Healthcare-,TRUE,FALSE,New Business,Healthcare,12/31/2016,Closed Lost,Customer Not Qualified,,,,
0060L00000jNXW2QAO,Mountain States Health Alliance,TRUE,TRUE,New Business,Healthcare,8/7/2017,Closed Won,,,,,"6-9-17 Follow up meeting - Spoke w/ Molly about the number of locations to start. Now thinking to start w/20.  BC the rest are physician offices.  Pushing her to go to 50. quoted $39 for CM+LLM. 
She asked if at 200 locs if we can waive the $1K set up fee.  I said yes.  At that point her price is $30/loc/month 

6-1-17 First meeting with Molly - Corp Director of Marketing. Was well versed in rep management and listings.  Said this is a great time to be talking as their FY '18 is July.   225 locations total in their health system.  Wants to start rolling out to hospitals only to start - pushing for 50 locs to start for CM + LLM. Meeting with the larger group on Monday.  Setting F/U with Molly Tuesday."
0060h000016bgSGAAY,Stamford Health,TRUE,FALSE,New Business,Healthcare,10/5/2018,Closed Lost,Price/Budget,,,,
0060L00000kO7ZNQA0,SHAG Senior Living - 5/2019,TRUE,FALSE,New Business,Healthcare,5/1/2019,Closed Lost,Customer Stopped Responding,,,"happens over and over with this lady where she stops responding, literraly for 2 years.",
0060h000018Nle5AAC,John Hopkins Medicine - New Business,FALSE,FALSE,New Business,Healthcare,7/23/2019,Prospecting,,,Yext,,
0060h000017HMr8AAG,Johns Hopkins Medicine- - 4/2019,TRUE,FALSE,New Business,Healthcare,4/2/2019,Closed Lost,Customer Stopped Responding,,Yext,Assigned to BDR to get on for an appointment,
0060h000016cWiVAAU,Texas Health Resources - 6/2018,TRUE,FALSE,New Business,Healthcare,6/30/2018,Closed Lost,Lost to Competitor,,,,
0060h000019DEtnAAG,North Mississippi Med Ctr Inc - New Business,FALSE,FALSE,New Business,Healthcare,11/3/2019,Assessing,,,,,
0060L00000kMtIMQA0,Ardent Health Services - 11/2017,TRUE,FALSE,New Business,Healthcare,11/30/2017,Closed Lost,Delayed Opportunity,,Sprout Loud,,
0060h000016bgVcAAI,Carilion Clinic - 6/2018,TRUE,FALSE,New Business,Healthcare,6/28/2018,Closed Lost,Delayed Opportunity,,Binary Fountain,,
0060h000018NkP0AAK,Caremount Medical - 7/2019,TRUE,FALSE,New Business,Healthcare,7/9/2019,Closed Lost,No Show,,,No Show and still in rescheduling,
0060h000017GpEFAA0,Conifer Health Solutions- - 11/2018,TRUE,FALSE,New Business,Healthcare,11/20/2018,Closed Lost,Customer Stopped Responding,,,,
0060h000017GUVmAAO,Capital Health System Inc,TRUE,FALSE,New Business,Healthcare,12/1/2018,Closed Lost,Customer Stopped Responding,,,,
0060h000018NTWgAAO,Connect Hearing - 5/2019,TRUE,FALSE,New Business,Healthcare,5/22/2019,Closed Lost,Locked in Contract,,,Parent company Sonova launched with Yext in Nov and they make tool decisions on a global level.,
0060L00000jfBQMQA2,Connect Hearing - 11/2017,TRUE,FALSE,New Business,Healthcare,11/30/2017,Closed Lost,Delayed Opportunity,,,,
0060h000019CGAFAA4,Sanford Health - 7/2019,TRUE,FALSE,New Business,Healthcare,7/26/2019,Closed Lost,Locked in Contract,,Yext,Locked in with Yext for listings and are not going to evaluate at this renewal cycle.,
0060h000016cZtvAAE,Sanford Health,TRUE,FALSE,New Business,Healthcare,8/12/2018,Closed Lost,Delayed Opportunity,,Yext,,
0060h000010aj6BAAQ,Blue Ridge Health Care  Inc - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Delayed Opportunity,,,,
0060L00000jNXG9QAO,Blue Ridge Health Care  Inc - 11/2017,TRUE,FALSE,New Business,Healthcare,11/28/2017,Closed Lost,Delayed Opportunity,,,,"5-23-17 First meeting with Tony  - 45 locations - Turns out he's the ""web guy"" although, he touches on FB pages, and is in the loop for review responses. Did not have any insight on Listings.  AND our audit only had one of their actual locations.  Other hospitals in the area have the name Blue Ridge.. PLUS they just changed their name to Carolinas Health Care System.  Proposed we do another audit and pull in his marketing director.  He agreed to send over 10 locations and do a follow up meeting for Danette Brackett - Marketing Dept."
0060h000017GTnRAAW,Navicent Health - 11/2018,TRUE,FALSE,New Business,Healthcare,11/12/2018,Closed Lost,No Show,,,,
0060h000018NvAcAAK,Stanford Health-,FALSE,FALSE,New Business,Healthcare,11/30/2019,Redlines,,,,,
0060h000017GJLGAA4,Floyd Medical Center - 11/2018,TRUE,FALSE,New Business,Healthcare,11/8/2018,Closed Lost,No Show,,,,
0060h000016aBGNAA2,Inova Health Care Services,TRUE,FALSE,New Business,Healthcare,9/19/2018,Closed Lost,Delayed Opportunity,,Brandify,,
0060h000018l7aDAAQ,Cedars-Sinai Medical Center - 7/2019,TRUE,FALSE,New Business,Healthcare,7/11/2019,Closed Lost,Customer Stopped Responding,,,reached out (mau and I) many many times with no response,
0060h000017GXuBAAW,Mainegeneral Medical Center - 12/2018,TRUE,FALSE,New Business,Healthcare,12/18/2018,Closed Lost,No Show,,,,
0060h000017GWTMAA4,Wentworth-Douglass Hospital - 11/2018,TRUE,FALSE,New Business,Healthcare,11/20/2018,Closed Lost,Customer Stopped Responding,,,,
0060h00001AmUBXAA3,Tallahassee Mem Healthcare Inc - New Business,FALSE,FALSE,New Business,Healthcare,12/7/2019,Prospecting,,,Reputation.com,,
0060h000018l7gkAAA,Tallahassee Mem Healthcare Inc - 5/2019,TRUE,FALSE,New Business,Healthcare,5/3/2019,Closed Lost,Delayed Opportunity,,Reputation.com,"Tracey wrote that she is interested, but now isn't the right time. She is ""at capacity with now new projects"". She wants to pick things up in October.",
0060h000017IqkJAAS,University Of Chicago Medicine - 2/2019,TRUE,FALSE,New Business,Healthcare,2/13/2019,Closed Lost,Delayed Opportunity,,,Need to go back to the main campus - Or back to Suknatika for a referral - she is on an extended holiday,
0060h000017GPWsAAO,University Of Chicago Medicine - 10/2018,TRUE,FALSE,New Business,Healthcare,10/23/2018,Closed Lost,Delayed Opportunity,,,,
0060h000018NlzDAAS,Keck Medicine of USC - 6/2019,TRUE,FALSE,New Business,Healthcare,6/12/2019,Closed Lost,No Show,,,No show and did not reschedule yet,
0060h000018lJ88AAE,Sarah Bush Lincoln Health Ctr - New Business,FALSE,FALSE,New Business,Healthcare,11/20/2019,Validating,,,,,
0060h000019DJbYAAW,Mount Sinai Health System Inc - New Business,FALSE,FALSE,New Business,Healthcare,11/5/2019,Assessing,,,Other,,
0060h000018NkO2AAK,Shriners Hospitals For Children - 7/2019,TRUE,FALSE,New Business,Healthcare,7/9/2019,Closed Lost,Opened in Error (Not an Opp),,,This was not really an opp.  He does marketing for 8 physicians only.,
0060h000016cjJaAAI,Shriners Hospitals-,TRUE,FALSE,New Business,Healthcare,8/31/2018,Closed Lost,Delayed Opportunity,,,,"22 hospitals, won 25$ Nordstrom ,everything *illegible* said PR responds to Reviews- Maybe? Digital does Listings"
0060h000018OqmTAAS,Springfield Clinic LLP - New Business,FALSE,FALSE,New Business,Healthcare,12/6/2019,Assessing,,,Yext,,
0060h000017HPClAAO,Springfield Clinic LLP - 8/2019,TRUE,FALSE,New Business,Healthcare,8/2/2019,Closed Lost,SE Turnover,,Yext,,
0060h000017GqrrAAC,"Birner Dental Management Services, - 12/2018",TRUE,FALSE,New Business,Healthcare,12/18/2018,Closed Lost,Delayed Opportunity,,Reputation.com,,
0060h000019Cp7ZAAS,Health Texas Provider Network - New Business,FALSE,FALSE,New Business,Healthcare,10/12/2019,Prospecting,,,Yext,,
0060h000017GfR6AAK,Health Texas medical group San Antonio- - 1/2019,TRUE,FALSE,New Business,Healthcare,1/14/2019,Closed Lost,Customer Stopped Responding,,Yext,Tricia let me know before the new year that her budget was cut and not sure able to move forward... stopped responding after that,
0060h000017J3ikAAC,Health Texas Provider Network - 3/2019,TRUE,FALSE,New Business,Healthcare,3/15/2019,Closed Lost,SE Turnover,,Yext,,
0060L00000h8Rd0QAE,BDG Dental - 11/2017,TRUE,FALSE,New Business,Healthcare,11/9/2017,Closed Lost,Lost to Competitor,,Yext,,
0060L00000kNpmpQAC,Changing Echoes - 12/2017,TRUE,FALSE,New Business,Healthcare,12/31/2017,Closed Lost,Customer Not Qualified,,,,
0060h000010b7cKAAQ,Schweiger Dermatology Group - 5/2018,TRUE,FALSE,New Business,Healthcare,5/3/2018,Closed Lost,No Show,,,,
0060h000010ae9YAAQ,Community Health Network- - 10/2018,TRUE,FALSE,New Business,Healthcare,10/19/2018,Closed Lost,Delayed Opportunity,,,,
0060L00000mJOA0QAO,Community Health Network - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,No Show,,,,
0060h000016csvBAAQ,Nationwide Children's Hospital,TRUE,FALSE,New Business,Healthcare,10/17/2018,Closed Lost,Customer Stopped Responding,,Yext,,
0060h000017IwxrAAC,Nationwide Children's Hospital - 1/2019,TRUE,FALSE,New Business,Healthcare,1/24/2019,Closed Lost,No Show,,Yext,,
0060h000017H5OJAA0,University of Utah Health - 1/2019,TRUE,FALSE,New Business,Healthcare,1/16/2019,Closed Lost,Customer Stopped Responding,,,Amy stopped responding to my emails - I think that this is not a priority currently. Following up Monthly,
0060h000017GURQAA4,University of Utah Health - 10/2018,TRUE,FALSE,New Business,Healthcare,10/31/2018,Closed Lost,Delayed Opportunity,,,,
0060h000018NfgrAAC,Wake Forest Baptist Medical Center - 5/2019,TRUE,FALSE,New Business,Healthcare,5/30/2019,Closed Lost,Budget,,,Budget was a concern from the beginning of the first meeting. Kristin got back to me in email - wouldn't answer repeated calls and respond to emails - that they aren't in a place to purchase right now. Should be followed up with next quarter,
0060h000017H110AAC,Wake Forest Baptist Medical Center - 11/2018,TRUE,FALSE,New Business,Healthcare,11/16/2018,Closed Lost,Delayed Opportunity,,,Delayed opp - met at conference to talk in the future.,
0060h000017IwfOAAS,Wake Forest Baptist Medical Center - 2/2019,TRUE,FALSE,New Business,Healthcare,2/27/2019,Closed Lost,No Show,,,,
0060L00000mIyqKQAS,Penn Medicine - 7/2018,TRUE,FALSE,New Business,Healthcare,7/31/2018,Closed Lost,Delayed Opportunity,,Yext,,
0060h000016dDW9AAM,North American Dental Group - 7/2018,TRUE,FALSE,New Business,Healthcare,7/20/2018,Closed Lost,Delayed Opportunity,,Yext,,
0060h000016yq7FAAQ,North American Dental Group - 5/2019,TRUE,FALSE,New Business,Healthcare,5/2/2019,Closed Lost,Stayed with Competitor,Podium/Yext,Yext,"After many attempts of reconnecting, she finally responded to my email - she said that they were going to stay put with her current vendors for the time being - Podium/Yext/Hootsuite - looking to get some additional feedback because moving forward Yelp was going to be a priority.",
0060h000016cHyCAAU,Hackensack Meridian HealthAug 2018,TRUE,FALSE,New Business,Healthcare,8/29/2018,Closed Lost,Delayed Opportunity,,,,"Met w/ Ann-Marie, Meghan and Margaret.  Currently using Reputation.com and have 350 physicians on it and 13 hospitals.   They are pretty happy with Rep.com but wanted to vet other vendors.  Rep. com also does their listings.  They are looking at Yext for LLM and NRC.  Went time talking about differentiators and our LLM product.  They wanted to make sure we do listings on Health Grades, Rate MD and Vitals.  Wanted to know how many categories they can have for their locations and also screenshots of analytics.   Sending off the followups and looping back early next week for follow up meeting."
0060L00000mJfcqQAC,Hackensack Meridian Health - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Customer Stopped Responding,,,,
0060h000017Inr9AAC,Lawrence General Hospital - 7/2019,TRUE,FALSE,New Business,Healthcare,7/3/2019,Closed Lost,Delayed Opportunity,,,Jill is only one person that is handling all marketing and reputation - she doesn't even have control of all listings - until she has that completed there was so sense in us continuing the conversation.,
0060h000018NjkgAAC,Boston Children's Hospital - 7/2019,TRUE,FALSE,New Business,Healthcare,7/1/2019,Closed Lost,No Show,,,No Show and needs to go to a new BDR.,
0060h000016aDCXAA2,Boston Children's Hospital - 1/2019,TRUE,FALSE,New Business,Healthcare,1/16/2019,Closed Lost,Customer Stopped Responding,,,Closing out for now - Chris is after Becca and her boss to re-engage.,
0060h000018NGXGAA4,City of Hope - 8/2019,TRUE,FALSE,New Business,Healthcare,8/1/2019,Closed Lost,Corporate Takeover,,,Another team taking over this project. reconnecting,
0060h000016cgWoAAI,City of Hope - 6/2018,TRUE,FALSE,New Business,Healthcare,6/30/2018,Closed Lost,No Show,,,,
0060h000018MibsAAC,Bradford Health - 5/2019,TRUE,FALSE,New Business,Healthcare,5/8/2019,Closed Lost,Didn't See Value,,,"They work with an agency and are not concerned about managing, or even monitoring, Local Reputation in house. She forwarded my information to their agency, but would not do anything else.",
0060h000016aIISAA2,Bradford Health - 11/2018,TRUE,FALSE,New Business,Healthcare,11/26/2018,Closed Lost,Customer Stopped Responding,,,,
0060L00000mJ5p3QAC,ClearChoice Management Services - 5/2018,TRUE,FALSE,New Business,Healthcare,5/31/2018,Closed Lost,Delayed Opportunity,,Yext,,
0060L00000mJZ99QAG,Southern Veterinary Partners-,TRUE,TRUE,New Business,Healthcare,1/31/2018,Closed Won,Other (Explain),,ReviewPush,,
0060h000017GfVDAA0,Canyon Vista Medical Center - 1/2019,TRUE,FALSE,New Business,Healthcare,1/4/2019,Closed Lost,Corporate Takeover,,,They are in the year long process of being acquired by LifePoint Health and can't look at CM until after that.,
0060L00000mJayCQAS,RCCH HealthCare Partners-,TRUE,FALSE,New Business,Healthcare,1/31/2018,Closed Lost,Customer Stopped Responding,,,,
0060L00000h8JBRQA2,Pivant - 2/2018,TRUE,FALSE,New Business,Healthcare,2/28/2018,Closed Lost,Delayed Opportunity,,Reputation.com,,
0060h000017GaCVAA0,UPMC Health System - 11/2018,TRUE,FALSE,New Business,Healthcare,11/26/2018,Closed Lost,Customer Stopped Responding,,,,
0060L00000kNTorQAG,State of Franklin Healthcare Associates - 10/2017,TRUE,FALSE,New Business,Healthcare,10/26/2017,Closed Lost,Reseller Opportunity,,,,
0060L00000kNbqFQAS,ADVANCED MEDICAL PAIN& REHABILITATION CENTER - 11/2017,TRUE,FALSE,New Business,Healthcare,11/9/2017,Closed Lost,Customer Not Qualified,,,,
0060h000018O4wJAAS,CSL Plasma - Post Pilot,TRUE,TRUE,New Business,Healthcare,8/19/2019,Closed Won,Product Feature: All-In-One Dash,,Sprinklr,"Closed win notes in Pilot - 
To close this side was a huge effort from Ally, Oscar, Tracy, Michael, Lee, & really the whole Chatmeter team for jumping on calls and showing tons of value during these 2 months of limbo. 

Side note, I DO NOT recommend doing pilots in the future.",
0060h000017GOFqAAO,CSL Plasma - 11/2018,TRUE,FALSE,New Business,Healthcare,11/8/2018,Closed Lost,Delayed Opportunity,,Sprinklr,,
0060h000019DEAWAA4,BPL Plasma - New Business,FALSE,FALSE,New Business,Healthcare,11/3/2019,Prospecting,,,,,
0060h000016cfzdAAA,BPL Plasma,TRUE,FALSE,New Business,Healthcare,8/28/2018,Closed Lost,No Show,,,,
0060h000017HtS3AAK,BPL Plasma - 2/2019,TRUE,FALSE,New Business,Healthcare,2/8/2019,Closed Lost,Customer Stopped Responding,,,Kristy stopped responding after our meeting to explore Chatmeter in December. Engaging BDRs to help get back on line,
0060h000016yvl5AAA,BPL Plasma - 5/2019,TRUE,FALSE,New Business,Healthcare,5/6/2019,Closed Lost,No Show,,,,
0060L00000mKFh1QAG,BioLife Plasma - 3/2018,TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Delayed Opportunity,,,,
0060h000016bkezAAA,Assisting Hands Home Care,TRUE,FALSE,New Business,Healthcare,10/4/2018,Closed Lost,No Show,,,,
0060L00000mJy1fQAC,California Family Fitness-,TRUE,TRUE,New Business,Healthcare,4/30/2018,Closed Won,Yelp Partnership,,Reputology,,
0060h000016bfdhAAA,Satellite Healthcare,TRUE,FALSE,New Business,Healthcare,8/16/2018,Closed Lost,Delayed Opportunity,,,,
006E000000c8C4XIAU,Satellite Healthcare - 11/2016,TRUE,FALSE,New Business,Healthcare,11/3/2016,Closed Lost,Customer Stopped Responding,,,,
0060L00000mK1ruQAC,Hoag Memorial Hospital Presbyterian-,TRUE,TRUE,New Business,Healthcare,3/23/2018,Closed Won,Product Feature: All-In-One Dash,,Reputology,,First meeting with Martine Graham the marketing manager at Hoag Hospital group. He came to us when he was doing a search for reputation management online.Has been with Reputology however because of losing yelp reviews as of February 1 needed to find a new provider. He is vetting other providers although at the end of the call he told me he is leaning towards Chatmeter because he loved our platform and enjoyed the presentation. HereHe uses a product called simply measured to measureFacebook activity like posts and lakes and also other analytics and he thinks he can replace simply measured by our platform and the analytics we are pulling in. They have 55 locations and will probably out on more locations this year to get up too to closer to hundred. Looking to make a decision in the next couple of weeks.
0060L00000jBypPQAS,Presence Health,TRUE,TRUE,New Business,Healthcare,7/25/2017,Closed Won,,,,,"Follow Up Meeting 6-13-17 - With Paul K and Xander:

Brightwistle health got taken over by Influence Health

Influence health has their CRM

Stand - alone buildings in 60 locations 
Not much changes

Physical data - Hundreds of physicians
No way to keep them manually updated.

Script it out of their database and kept to their form field names.

Our template had more field

Tun script from them their side to a .CSV file and WE would do a delta.

Influence Health acquisition - They have a direct VPN to their database and ran with it.

Now where is he going to get data.

Influence Health still has the CMS. They will construct URL for the doctor directory.

CSV file that would come to us,
How do we determine which ones are new and which ones left..

Original CSV file had out SQL broke when the database changed.

Has no SQL script =. Has nothing.

If there’s an API opportunity, to run and get the info to our end.

Add locations, and parameters, and dictate what to add and what to remove. 

We can program into any API’s PH would have.

He would have to go to a vendor that holds their data so they can get API development done. 

Work with our API and perimeter into it.

He would have to pay someone to get the data out.

He would rather have API that would be something non-manual.

>> WE could put together some documentation about the process, give it to them, and they could find out what it would cost for their vendor to build an API.

Eric said the documentation would help.

API - his data source - same company - moving into a more robust system. 

Influence Health does not have API’s.

>> Paul said - shoot them an email, ask for weekly exports from them for now, to get started….A CSV export of their raw data.
Based on flags he has flagged, that will let us know what has changed, what has not… etc…

Get his raw data.  A single excel doc with a single row that has all the data that we need (Our Template)

Xander - Get the hours format 

Needs the hours format from us.
And see on his side who can “script” this for us."
0060L00000h9IpaQAE,Presence Health - CM Platform,TRUE,TRUE,New Business,Healthcare,11/30/2017,Closed Won,,,,,
0060h000017JIMOAA4,Presbyterian Medical Services - 3/2019,TRUE,FALSE,New Business,Healthcare,3/21/2019,Closed Lost,No Show,,,Prospect never showed up for the first presentation - Greg tried to get her back on but never responded.,
0060L00000i464ZQAQ,Randolph Health - 3/2017,TRUE,FALSE,New Business,Healthcare,3/15/2017,Closed Lost,No Show,,,,
0060h000019DogQAAS,rocky mountain gastroenterology associates pllc - New Business,FALSE,FALSE,New Business,Healthcare,11/30/2019,Assessing,,,,,
0060L00000i4aRKQAY,Sangster's Health Centres - 9/2017,TRUE,FALSE,New Business,Healthcare,9/30/2017,Closed Lost,Delayed Opportunity,,,,
006E000000c8QkWIAU,Senior Lifestyle Corporation - 9/2016,TRUE,FALSE,New Business,Healthcare,9/21/2016,Closed Lost,Delayed Opportunity,,,,"See notes in Activity Log -  Paul left company - delay in transferring lead to me for follow up.  By the time I got back to them, they had ""gone in a different direction"" --  I wrote an email asking what they had chosen instead.  Have not responded yet.  

I have set a tickler to f/u with them in December to see how it is going."
006E000000fkBrcIAE,Senior Lifestyle Corporation - 11/2016,TRUE,FALSE,New Business,Healthcare,11/30/2016,Closed Lost,Lost to Competitor,"Client will only say they ""went in different direction""",,,Inherited this lead in August.
0060h000017GNi8AAG,Planned Parenthood Mar Monte Inc,TRUE,FALSE,New Business,Healthcare,10/17/2018,Closed Lost,Delayed Opportunity,,,,Not a priority right now and asked for us to reach back in January.
0060L00000i5GGhQAM,Coast Dental,TRUE,TRUE,New Business,Healthcare,1/28/2016,Closed Won,,,,,
0060L00000h87nrQAA,"Aspen Dental Management, Inc. - 3/2018",TRUE,FALSE,New Business,Healthcare,3/31/2018,Closed Lost,Delayed Opportunity,,New Brand Analytics,,Met with Stephanie the social media marketing manager all for a consumer-facing. 657 locations throughout the United States.They are in the midst of transitioning off of new brand analytics to sprinkler.They have a patient satisfaction team that sends out surveys as well as asks people to review on review sites.They also have a freelance community manager who responds to Google and Facebook local pages.At the end of the audit.  She said that sprinkler makes the most sense for them right now.Asked her about listings and she said that and Google my business is a totally different team.We definitely need to have another call with a higher up in that company and the team responsible forGoogle pages and listings.She said she would forward the day I sent her to that team but did not give me any names.
