"_","Id","Name","AccountId","IsClosed","IsWon","Type","Industry__c","CloseDate","StageName","Lost_Reason__c","Lost_to_Competitor__c","With_Competitor__c","Won_Loss_Detail__c","Description"
"[Opportunity]","0060L00000goVczQAE","Adtaxi - 12/2017","001E000001gnJgKIAU","true","false","New Business","Agency","2017-12-27","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000goW7LQAU","Atria Senior Living Group, Inc. - 7/2017","001E000000gN6ilIAC","true","false","New Business","Healthcare","2017-07-06","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000goWP0QAM","Save-A-Lot Food Stores, Ltd. - 3/2017","001E000000qJiLyIAK","true","false","New Business","Retail","2017-03-31","Closed Lost","Lost to Competitor","","","Reason Given: Other (Put in Notes)","Met with Heidi - She was late to the call - so we got only 20 minutes to talk.  Confirmed they have 1400 locations now. Said they're using SimPartners to manage their listings and was curious about the inconsistencies.
Went through the dashboard up until rankings.  
She was surprised how many inconsistencies there were. She said she had a hard stop and asked me to send her the deck with screenshots so she can ""wrap her head around it"".Agreed to follow up next week with her.

Followed up with Heidi - Said they're fine for now and happy with what they are using.. Said it was OK for me to follow up next year."
"[Opportunity]","0060L00000goWRLQA2","The Marshall Retail Group - 3/2017","001E000001EqFdLIAV","true","false","New Business","Retail","2017-03-28","Closed Lost","Price/Budget","","","","Met with Carl Araneta. Marshall Retail Group covers 30 brands and ALL are located in Casinos/Airports.  They license big brands like Kiehls, Tumi, Harley. He wants to do another audit with only their data.  160 retail locs total.  Said this is not a priority for them and even said tourists in an airport/casino are READING SIGNAGE to find things ... Huh>!?  Will do audit on their locs and drill on the importance of local SEO.  Already went through slides.  Look at Listings and rankings again.

10-21  Follow up Meeting Oct 21 -  Audit on 5 locations - all corp owned stores in Las Vegas. He saw the value and said it's ""interesting"" Useful functionality. Was a defensive about FB Unofficial pages.  Asked to send him  - what he said is the most useful stuff - Listings, Reviews, Media - Rankings.
Wants more info on pricing.  Dashboard and Listings Management.
No budget at this time"
"[Opportunity]","0060L00000goWRuQAM","Padilla - 11/2016","001E000001gnyc9IAA","true","false","New Business","Agency","2016-11-30","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000goWhsQAE","Grocery Outlet, Inc. - 9/2017","001E000000qJhprIAC","true","false","New Business","Retail","2017-09-30","Closed Lost","Delayed Opportunity","","SweetIQ","",""
"[Opportunity]","0060L00000goWriQAE","150PR /DFPR - 11/2016","001E000001gmTQJIA2","true","false","New Business","Agency","2016-11-24","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000goX3FQAU","International Coffee & Tea, LLC - 11/2016","001E000001FdcZMIAZ","true","false","New Business","Restaurant","2016-11-23","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i32sYQAQ","AirServe  (The Dwyer Group)","001E0000014r0DnIAI","true","false","New Business","Service Area Businesses","2017-12-26","Closed Lost","Delayed Opportunity","","","","First meeting w/ Bryce Bernard - His boss Leah asked him to check us out before she got on a call.  HUGE opp here.  They manage marketing for 11 brands, totaling 2600 locations.  This meeting was for Aire Serv.  He LOVED Chatmeter and especially LLM.  They use 2 obscure companies to manage Reviews (listen 360) and LLM (Scorpion). Saw lots of Value with our FB management specifically.  Said they've been working on it for a year and is a huge thing to tackle.  Said our platform is a ""very very great thing"".  Wants his boss Leah to see it and will let me know later today when she can meet - hopefully this Friday.  
Quuoted $24 for CM + LLM for 250 + locs and $15 for just LLM"
"[Opportunity]","0060L00000i32snQAA","Market Force Information, Inc. - 1/2017","001E000000UfcjMIAR","true","false","New Business","Agency","2017-01-10","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i32wzQAA","Duffy's Sports Grill - 12/2016","001E000001cEPf4IAG","true","false","New Business","Restaurant","2016-12-30","Closed Lost","Customer Changed Priorities","","New Brand Analytics","",""
"[Opportunity]","0060L00000i33VkQAI","Manna Development Group - 7/2017","001E000001hOSKMIA4","true","false","New Business","Restaurant","2017-07-31","Closed Lost","Delayed Opportunity","","","","11-18 . Second meeting with JJ. Went over the 10 locations he wanted us to do. They are nearing 100 Panera locations. He does not have access to fixing listings or responding to reviews. Panera has claimed all the Unclaimed FB Pages. To move forward, he wants us to 1. Identify the misses 2. Identify the opportunities. 3. Be specific about they need our services. How will it be utilized? How will this increase their sales? Ex. You follow through with this - this is how your revenue increases. etc. Follow up with him after Thanksgiving. Jan/Feb 2017 purchase.

1-23 . Email from JJ: Thank you for your patience on this matter! After discussing with our team, we love the platform, however while you are offering a great price at $10 per cafe, adding another $1000 to our budget is not something we feel comfortable doing at this time. That being said it may be something we might be interested in as we continue to grow. Would you be able to reach out to me around early Q3?"
"[Opportunity]","0060L00000i33m7QAA","Boston Properties LP - 1/2017","001E000001cEPXrIAO","true","false","New Business","Multi-Family","2017-01-09","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i33r2QAA","BJC Medical Group - 1/2017","001E000001cEPXEIA4","true","false","New Business","Healthcare","2017-01-31","Closed Lost","Lost to Competitor","unknown - will not disclose","","",""
"[Opportunity]","0060L00000i3C0qQAE","MidWestOne Bank - 1/2017","001E000001hQGjHIAW","true","false","New Business","Financial Services","2017-01-16","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i3C7DQAU","First Arkansas Bank and Trust - 3/2017","001E000001EqDpCIAV","true","false","New Business","Financial Services","2017-03-30","Closed Lost","No Show","","Other","",""
"[Opportunity]","0060L00000i3CHSQA2","Advance Local - 5/2017","001E000000UfcakIAB","true","false","New Business","Agency","2017-05-31","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i3CLtQAM","MidSouth Bancorp - 1/2017","001E000001gmpcNIAQ","true","false","New Business","Financial Services","2017-01-16","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i3CUpQAM","Amp Agency - 1/2017","001E0000012a9fXIAQ","true","false","New Business","Agency","2017-01-09","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i3CWWQA2","Calgary Co-Operative Association Ltd. - 4/2017","001E000001EqDyvIAF","true","false","New Business","Retail","2017-04-30","Closed Lost","Delayed Opportunity","","","","CM and LM for 74 locations"
"[Opportunity]","0060L00000i3CgqQAE","Learning Express Inc. - 2/2017","001E000001EqEamIAF","true","false","New Business","Education","2017-02-21","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i3CuTQAU","Optimized360 - 4/2017","001E000001U0fN8IAJ","true","false","New Business","Agency","2017-04-27","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i3DJ4QAM","Peak Capital Partners - 4/2018","001E000001ewjD9IAI","true","false","New Business","Multi-Family","2018-04-12","Closed Lost","Delayed Opportunity","","ReviewPush","",""
"[Opportunity]","0060L00000i3E5IQAU","Balihoo - 1/2017","001E0000010k2URIAY","true","false","New Business","Agency","2017-01-12","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i5k0rQAA","Page 1 Solutions - 5/2017","0010L00001icF9kQAE","true","false","New Business","Agency","2017-05-18","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i5kHJQAY","Pho Hoa Noodles and Jazen Tea (Aureflam Corporation) - 6/2017","001E000001EqF0ZIAV","true","false","New Business","Restaurant","2017-06-30","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i5w4AQAQ","Starwood Capital Group - 4/2017","001E000001UlNKeIAN","true","false","New Business","Multi-Family","2017-04-19","Closed Lost","Price/Budget","","","",""
"[Opportunity]","0060L00000i5wXlQAI","KinderCare Education - 8/2017","001E000000gMzITIA0","true","false","New Business","Education","2017-08-31","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i5yZPQAY","OgilvyOne Worldwide - 5/2017","0010L00001j9vrWQAQ","true","false","New Business","Agency","2017-05-10","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i5yf8QAA","DEI Communities - 9/2017","001E000001EqE40IAF","true","false","New Business","Multi-Family","2017-09-20","Closed Lost","Delayed Opportunity","","Reputation.com","",""
"[Opportunity]","0060L00000i5ymEQAQ","Empire Today, LLC - 6/2017","001E000000wpJdIIAU","true","false","New Business","Service Area Businesses","2017-06-30","Closed Lost","Delayed Opportunity","","ReviewPush","","March 7 - Called for our meeting and spoke with Kimmah - She apologized for not getting back to us.  In the midst of a Re-Org and not moving forward with new platforms. Said call her back in a month to checking."
"[Opportunity]","0060L00000i5zPfQAI","Homewatch Caregivers Inc. - 5/2017","001E00000165cbvIAA","true","false","New Business","Healthcare","2017-05-08","Closed Lost","Delayed Opportunity","Sweet IQ","SweetIQ","",""
"[Opportunity]","0060L00000i60vwQAA","High Properties","0010L00001kweYTQAY","true","false","New Business","Multi-Family","2018-03-29","Closed Lost","Delayed Opportunity","","","","Leah had submitted properties for the audit.  We did 6 of them.  She really liked the platform (she's a property manager at the Lancaster, PA property) and said it will save her a lot of time.  They have only 7 properties now and planning to buy ""many more for the portfolio"""
"[Opportunity]","0060L00000i613bQAA","TriBridge Residential","001E000000kBOfJIAW","true","true","New Business","Multi-Family","2017-03-15","Closed Won","","","","",""
"[Opportunity]","0060L00000i624LQAQ","SEO Page One - 5/2017","001E000001J4vcbIAB","true","false","New Business","Agency","2017-05-17","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000i627PQAQ","PRG Real Estate - 11/2017","001E000001EqF6IIAV","true","false","New Business","Multi-Family","2017-11-15","Closed Lost","Customer Stopped Responding","","Reputation.com","",""
"[Opportunity]","0060L00000i63oCQAQ","Paris & Potter Management Corporation - 5/2017","001E000000qJiDSIA0","true","false","New Business","Restaurant","2017-05-17","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i641kQAA","Nebraskaland, Kansasland, Coloradoland Tire Group - 5/2017","001E000001EqFwNIAV","true","false","New Business","Automotive","2017-05-15","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i64FNQAY","lev8 - 3/2017","0010L00001kwu9MQAQ","true","false","New Business","Hospitality/Entertainment","2017-03-31","Closed Lost","Price/Budget","","","","Met with Nicholas.  He has mostly hospitality and bars/restaurants clients.  Did demo for Hilton.  Loved the platform but still too small to White Label."
"[Opportunity]","0060L00000goXUGQA2","Vyve Broadband - 2/2017","001E000001EqDuPIAV","true","false","New Business","Service Area Businesses","2017-02-02","Closed Lost","Lost to Competitor","Unknown","Other","",""
"[Opportunity]","0060L00000goYVkQAM","Fuseology Creative - 3/2017","001E000001EqEWPIA3","true","false","New Business","Agency","2017-03-31","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000goYm7QAE","The Joint Chiropractic - 12/2016","001E000001fq9NLIAY","true","false","New Business","Healthcare","2016-12-19","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000goahcQAA","Charley's Grilled Subs - 2/2017","001E000001cEPapIAG","true","false","New Business","Restaurant","2017-02-22","Closed Lost","Customer Stopped Responding","","Momentfeed","",""
"[Opportunity]","0060L00000gobEHQAY","PR Newswire - 11/2016","001E000001hQnZqIAK","true","false","New Business","Agency","2016-11-30","Closed Lost","Price/Budget","","","",""
"[Opportunity]","0060L00000gobFAQAY","Marine Max - 5/2017","001E000000qJi55IAC","true","false","New Business","Retail","2017-05-31","Closed Lost","No Show","","BrightLocal","",""
"[Opportunity]","0060L00000h85UxQAI","Target Corp - 3/2018","001E000001cEPsIIAW","true","false","New Business","Retail","2018-03-30","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h86CkQAI","Platinum Storage Group - 11/2017","001E000001e8ZPMIA2","true","false","New Business","Local Services","2017-11-30","Closed Lost","Price/Budget","","Reputation.com","",""
"[Opportunity]","0060L00000h86IOQAY","Sentinel Real Estate Corporation - 2/2018","001E000000UfcdWIAR","true","false","New Business","Multi-Family","2018-02-28","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h86guQAA","Karwoski & Courage Public Relations - 1/2017","0010L00001jA5oqQAC","true","false","New Business","Agency","2017-01-02","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h86r9QAA","Regency Multifamily - 11/2017","0010L00001oltAvQAI","true","false","New Business","Multi-Family","2017-11-30","Closed Lost","Lost to Competitor","","Reputation.com","Reason Given: Price",""
"[Opportunity]","0060L00000h86wsQAA","Roy Rogers Restaurants - 1/2018","0010L00001oREIKQA4","true","false","New Business","Restaurant","2018-01-16","Closed Lost","Delayed Opportunity","","Momentfeed","",""
"[Opportunity]","0060L00000h87nrQAA","Aspen Dental Management, Inc. - 3/2018","001E000000gMSiYIAW","true","false","New Business","Healthcare","2018-03-31","Closed Lost","Delayed Opportunity","","New Brand Analytics","","Met with Stephanie the social media marketing manager all for a consumer-facing. 657 locations throughout the United States.They are in the midst of transitioning off of new brand analytics to sprinkler.They have a patient satisfaction team that sends out surveys as well as asks people to review on review sites.They also have a freelance community manager who responds to Google and Facebook local pages.At the end of the audit.  She said that sprinkler makes the most sense for them right now.Asked her about listings and she said that and Google my business is a totally different team.We definitely need to have another call with a higher up in that company and the team responsible forGoogle pages and listings.She said she would forward the day I sent her to that team but did not give me any names."
"[Opportunity]","0060L00000h87pYQAQ","Purch - 1/2018","0010L00001olwldQAA","true","false","New Business","Agency","2018-01-31","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h884OQAQ","Spencer Savings Bank SLA - 2/2018","001E000000qJiPFIA0","true","false","New Business","Financial Services","2018-02-09","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000h88DLQAY","Fresh Hospitality - 12/2017","0010L00001pk34aQAA","true","false","New Business","Software","2017-12-26","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000h88PJQAY","NextCare Urgent Care - 2/2018","001E000001hQLWIIA4","true","false","New Business","Healthcare","2018-02-02","Closed Lost","Delayed Opportunity","","Other","",""
"[Opportunity]","0060L00000i3EAXQA2","DirectBuy - 1/2017","001E000001cEPeZIAW","true","false","New Business","Retail","2017-01-30","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i3EHYQA2","LIN Media","0010L00001j9ZmoQAE","true","true","New Business","Agency","2017-01-20","Closed Won","","","","","Media general (LIN Media) is currently in the process of a large merger. They are being bought out by Nextstar Marketing

Nerissa is the VP of operations and has been with the company for 3 years. She started out as the advertising director and now supports all 3 brands

They are currently in 48 markets through 3 different brands. Federated Media, Media General, and LIN Media

LIN Media works with local customers - they work with clients mainly in healthcare, retail, auto dealers, and some universities; Target is one of their clients

They currently offer an SEO package with written content available, business listings, and plan to get more involved with social media once they merge with Nextstar

Nextstar does a lot in the reputation management/social media space


Just heard back from Nerissa and they plan on meeting with vendors prior to mid December for vetting then making a decision before the end of the year to kick off with a new partner.

She will be sending over a sample client for a proposal.

** 2nd meeting with Sarah - Director of Search and Social notes below **

Matthew & Rocky were also on the call (Matthew is the SEO Supervisor)

The pain points they have experienced with Yext is a lack of reporting and their dashboard is unresponsive at times

Their looking to select a vendor this month to kick off with a new vendor Jan 1

**12/14/16** TT Sarah on requirements call

Talked to Sarah today and discovered that they are looking at SweetIQ, Yext, and us. She initially said we all look like we do the same thing and I clearly proved that were different.

The important pieces for her were to make sure that all local listings were monitored and managed without much effort on their end.

We covered the listing inaccuracy report in greater detail, the integrated rank tracker, reviewbuilder, facebook duplicate suppression & parent child relationship. These were all value adds that they would reap benefit from.

Sending over the contract in PDF format for their legal team to review"
"[Opportunity]","0060L00000i3EgsQAE","ADP/Automatic Data Processing - 2/2017","0010L00001kvIlrQAE","true","false","New Business","Professional Services","2017-02-24","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i3FShQAM","Equity Residential - LLM Only","001E000000tecIIIAY","true","true","New Business","Multi-Family","2017-07-31","Closed Won","","","Reputation.com","","6-29-17 Third meeting with this group.  So far so good.  They had access for a few days and had some follow up Q's.  Introduced to one more person on their team.  We have to do a lot better with pricing.  Currently using MOZ and Rep.com.   Looping back later next week to get an idea of where we need to be.  Will onboard all 285 properties at once.  This is a ""fall"" deal.

6-21-17 Met with Kristen Miller (Marketing Director) and Kyra Lambo (Digital Marketing Manager).  Over 250 properties.  They've been with rep.com for a couple of years and say it serves them 90% of what they need.  Using MOZ for LLM.  Rep.com contract up for renewal in Sept.   They want to be able to export lots of reports to the field.  They liked the platform (said a bit more user friendly than rep.com) and rep.com has lots of bells and whistles they can't use.  Stressed the Yelp relationship.   Need listings management.  F/U in 2 weeks and send over deck.  And pricing.  Wanted to make sure we push via API for listings.

Met w/Kristen.  Showed her PULSE and Chatter.  Although she was more interested in Reviews and slicing that information and reporting.  Very big into reporting - that's how they would utilize our data.  Using Rep.com and Moz. Said they're pretty happy with it - I showed her the listings data we gathered and the mess there.  Her interest was definitely peaked re: listings. Not her area. Although she was surprised it was so bad.  Hit upon the competitive benchmarking, and Rankings . Would not tell me how much they pay - ahtough she commented we are competitive when bundling CM and LLM.  Follow up later this week for a meeting and get her LM person on.  Rep .com contract ends in September."
"[Opportunity]","0060L00000i3GITQA2","Rainman Creative - 1/2017","001E000001hOl2CIAS","true","false","New Business","Agency","2017-01-12","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i3GKoQAM","Prime Healthcare - 3/2017","001E000001UlWZ3IAN","true","false","New Business","Healthcare","2017-03-30","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i3GMVQA2","Post Bulletin - 2/2017","0010L00001jBC6WQAW","true","false","New Business","Agency","2017-02-15","Closed Lost","Customer Changed Priorities","","","",""
"[Opportunity]","0060L00000i3GPoQAM","Qiigo - 2/2017","001E000001cEfSCIA0","true","false","New Business","Agency","2017-02-16","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000i3GQ3QAM","internet and media professionals - 2/2017","001E000001EqEgQIAV","true","false","New Business","Agency","2017-02-28","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i3GSxQAM","Good Shepherd Rehabilitation Network - 3/2017","001E000001Fdcb5IAB","true","false","New Business","Retail","2017-03-30","Closed Lost","Price/Budget","","","","Good meeting with Chrystal.  Currently using Google Alerts and Mention.com (paid account) paying about $1K per year for that.  She def saw the value in the platform and said as a non-profit, they need to take advantage of online marketing as much as possible.  They were approached by Yelp for paid account but she got sticker shock from that.  at $100's per location/month.  Meeting with the marketing Director, Kerrie Gerber, and presenting.  Wants to know Benefit and Costs.  Schedule follow up for week of Dec 12th."
"[Opportunity]","0060L00000i3GXOQA2","Duke Of Oil, Ltd. - 4/2017","001E000000qJhgWIAS","true","false","New Business","Automotive","2017-04-30","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i65NNQAY","Mediative - 5/2017","001E000000ugS3QIAU","true","false","New Business","Agency","2017-05-22","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i65goQAA","Solar Universe Inc. - 5/2017","001E0000016WOaVIAW","true","false","New Business","Service Area Businesses","2017-05-03","Closed Lost","Customer Changed Priorities","","","",""
"[Opportunity]","0060L00000i65onQAA","The Counter Burger - 6/2017","001E000000qJiaWIAS","true","false","New Business","Restaurant","2017-06-07","Closed Lost","Lost to Competitor","","Momentfeed","Reason Given: Other (Put in Notes)",""
"[Opportunity]","0060L00000i65q0QAA","UpShot Agency - 5/2017","001E000000UfchQIAR","true","false","New Business","Agency","2017-05-31","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i65xfQAA","Uncle Julio - 6/2017","001E0000013IomyIAC","true","false","New Business","Restaurant","2017-06-08","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i6FhGQAU","Ervin & Smith - 5/2017","0010L00001ldkeFQAQ","true","false","New Business","Agency","2017-05-09","Closed Lost","No Show","","","",""
"[Opportunity]","0060L00000i6FlSQAU","McCormick Paints - 11/2017","001E000000qJi5uIAC","true","false","New Business","Retail","2017-11-28","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000i6FnOQAU","Eastern Advertising Novelty - 7/2017","0010L00001le1L4QAI","true","false","New Business","Agency","2017-07-31","Closed Lost","Customer Stopped Responding","","","",""
"[Opportunity]","0060L00000h89UyQAI","Romeo's Pizza - 2/2018","001E0000013Ioj6IAC","true","false","New Business","Restaurant","2018-02-02","Closed Lost","Delayed Opportunity","","Yext","",""
"[Opportunity]","0060L00000h8AblQAE","Essex Prop Trust","001E000000UfcddIAB","true","true","New Business","Multi-Family","2017-12-19","Closed Won","","Brandify","","","Finally first meeting with this property management company. 247 properties as of now.Currently using Binary Fountain and HootSuite for social media.  Each community along with the help of marketing from corporate is responsible for cleaning their Facebook pages and also for keeping their Google my business pages current and up-to-date.They were at a conference last week and heard from Graystar about all the hubbub of yelpNews. I briefed them on the situation.We are one of few that are going to be having Yelp reviews and the director of marketing was on the call who was very concerned that they're going to be losing that with binary fountain.Their Facebook pages 7 out of 10 were unofficial.They were pretty shocked about that they thought they had a better handle on them.  Also I found a Google my business page had the wrong address.Will be sending follow-up and scheduling another call next week as I had a hard stop and the meeting started late because they called in 15 minutes late."
"[Opportunity]","0060L00000h8AcAQAU","Great Value Storage - 1/2018","001E000001cEPkKIAW","true","false","New Business","Local Services","2018-01-09","Closed Lost","Didn't See Value","","ReviewPush","",""
"[Opportunity]","0060L00000h8AwtQAE","Verlo Mattress Factory Stores LLC - 11/2017","001E000000qJieEIAS","true","false","New Business","Other","2017-11-30","Closed Lost","Price/Budget","","Other","",""
"[Opportunity]","0060L00000h8D7mQAE","Mud Bay, Inc. - 12/2017","001E000000qJi9NIAS","true","false","New Business","Retail","2017-12-31","Closed Lost","No Show","","ReviewTracker","",""
"[Opportunity]","0060L00000h8DC8QAM","TBC, Inc. - 6/2018","001E000000qJiWcIAK","true","false","New Business","Retail","2018-06-29","Closed Lost","Delayed Opportunity","","Reputation.com","",""
"[Opportunity]","0060L00000h8DLZQA2","Fire Nerds Marketing - 12/2017","0010L00001jlVDsQAM","true","false","New Business","Agency","2017-12-30","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h8DaeQAE","Advance Local - 2/2018","001E000000UfcakIAB","true","false","New Business","Agency","2018-02-28","Closed Lost","Delayed Opportunity","","","",""
"[Opportunity]","0060L00000h8EabQAE","6AM Marketing - 12/2017","0010L00001j9WUkQAM","true","false","New Business","Agency","2017-12-31","Closed Lost","Customer Not Qualified","","","",""
"[Opportunity]","0060L00000h8FeZQAU","GIC - 3/2018","0010L00001omXAXQA2","true","false","New Business","Multi-Family","2018-03-31","Closed Lost","Customer Changed Priorities","","","","GIC company is based in Singapore and is a property investment group.  Most properties they invest in are shopping malls, hotels, and student housing.  They were referred to us by my customer the Scion Group.  They are interested in Chatmeter only as a monitoring tool and to use for trending issues.  Spent lots of time on reviews, Pulse and social.  Also wanted to use it as an audit tool for properties they do want to purchase.  Wants monitoring for Asia - Japan and China.  Told him at this time we do not provide that.  Would start with about 30.  Asked for pricing and said will discuss with the group."
